23:04:02 | DB_CALL  |   1445ms | rows=1
23:04:10 | REQUEST  |     16ms | GET / -> 200
23:04:10 | REQUEST  |      1ms | GET /favicon.ico -> 404
23:04:11 | AUTH     |      0ms | sign_in_with_oauth
23:04:11 | REQUEST  |      2ms | GET /auth/github -> 307
23:04:14 | AUTH     |    356ms | exchange_code_for_session
23:04:14 | DB_CALL  |    381ms | rows=1
23:04:14 | REQUEST  |    743ms | GET /auth/callback -> 307
23:04:14 | DB_CALL  |    262ms | rows=1
23:04:15 | DB_CALL  |    555ms | rows=1
23:04:15 | DB_CALL  |    555ms | rows=0
23:04:15 | REQUEST  |    567ms | GET /admin/dashboard -> 200
23:04:25 | DB_CALL  |    329ms | rows=1
23:04:25 | REQUEST  |    341ms | GET /admin/users -> 200
23:04:41 | DB_CALL  |    718ms | rows=1
23:04:42 | REQUEST  |    734ms | GET /admin/events -> 200
23:05:09 | DB_CALL  |    429ms | rows=0
23:05:09 | DB_CALL  |    232ms | rows=1
23:05:09 | REQUEST  |    664ms | POST /admin/events/c2df74ea-3e3c-40e0-b418-c6b5cd3d05cc/edit -> 303
23:05:10 | DB_CALL  |    221ms | rows=1
23:05:10 | REQUEST  |    222ms | GET /admin/events -> 200
23:05:15 | REQUEST  |      6ms | GET /admin/verify -> 200
23:05:17 | DB_CALL  |    389ms | rows=0
23:05:17 | DB_CALL  |    437ms | rows=1
23:05:17 | REQUEST  |    438ms | GET /admin/dashboard -> 200
23:05:22 | REQUEST  |      1ms | GET / -> 200
23:05:23 | REQUEST  |      0ms | GET /favicon.ico -> 404
23:05:24 | AUTH     |      0ms | sign_in_with_oauth
23:05:24 | REQUEST  |      1ms | GET /auth/github -> 307
23:05:27 | AUTH     |    418ms | exchange_code_for_session
23:05:27 | DB_CALL  |    373ms | rows=0
23:05:27 | DB_CALL  |    244ms | rows=1
23:05:27 | REQUEST  |   1040ms | GET /auth/callback -> 307
23:05:27 | DB_CALL  |    291ms | rows=1
23:05:27 | REQUEST  |    316ms | GET /user/complete-profile -> 200
23:05:40 | DB_CALL  |    435ms | rows=1
23:05:40 | REQUEST  |    442ms | POST /user/complete-profile -> 302
23:05:41 | DB_CALL  |    218ms | rows=1
23:05:41 | DB_CALL  |    250ms | rows=1
23:05:41 | DB_CALL  |    359ms | rows=0
23:05:41 | DB_CALL  |    364ms | rows=0
23:05:41 | REQUEST  |    593ms | GET /user/events -> 200
23:06:08 | DB_CALL  |    455ms | rows=1
23:06:08 | REQUEST  |    747ms | POST /user/events/c2df74ea-3e3c-40e0-b418-c6b5cd3d05cc/register -> 302
23:06:08 | DB_CALL  |    229ms | rows=1
23:06:08 | DB_CALL  |    300ms | rows=1
23:06:08 | DB_CALL  |    304ms | rows=1
23:06:08 | DB_CALL  |    305ms | rows=1
23:06:09 | DB_CALL  |    308ms | rows=1
23:06:09 | REQUEST  |    838ms | GET /user/events -> 200
23:06:17 | REQUEST  |      7ms | GET /auth/logout -> 307
23:06:17 | REQUEST  |      1ms | GET / -> 200
23:06:18 | AUTH     |      0ms | sign_in_with_oauth
23:06:18 | REQUEST  |      1ms | GET /auth/github -> 307
23:06:20 | AUTH     |    391ms | exchange_code_for_session
23:06:21 | DB_CALL  |    403ms | rows=1
23:06:21 | REQUEST  |    797ms | GET /auth/callback -> 307
23:06:21 | DB_CALL  |    211ms | rows=1
23:06:21 | DB_CALL  |    208ms | rows=1
23:06:21 | DB_CALL  |    210ms | rows=1
23:06:21 | DB_CALL  |    214ms | rows=1
23:06:21 | DB_CALL  |    216ms | rows=1
23:06:22 | DB_CALL  |    248ms | rows=1
23:06:22 | REQUEST  |    671ms | GET /user/events -> 200
23:06:26 | REQUEST  |      1ms | GET /auth/logout -> 307
23:06:26 | REQUEST  |      0ms | GET / -> 200
23:08:25 | REQUEST  |      2ms | GET /auth/logout -> 307
23:08:26 | REQUEST  |     10ms | GET / -> 200
23:08:35 | REQUEST  |      6ms | GET / -> 200
23:08:36 | REQUEST  |      1ms | GET / -> 200
23:08:36 | REQUEST  |      1ms | GET / -> 200
23:09:15 | REQUEST  |      1ms | GET / -> 200
23:09:39 | REQUEST  |     10ms | GET / -> 200
23:10:09 | AUTH     |     21ms | sign_in_with_oauth
23:10:09 | REQUEST  |     25ms | GET /auth/github -> 307
23:10:12 | AUTH     |    467ms | exchange_code_for_session
